customer_id,age,gender,region,annual_income,membership_years,recency_days,frequency_last_year,monetary_last_year,avg_basket_value,online_purchase_ratio,preferred_category,_true_segment
C10026,44,Male,South,32262.53,1.95,31.8,10,389.39,40.13,0.4,Sports,Bargain Hunter
C10027,47,Female,North,94841.7,8.02,10.6,25,4760.81,186.79,0.31,Electronics,High-Value Loyalist
C10028,62,Female,North,112918.83,6.28,12.9,28,3047.94,108.21,0.52,Beauty,High-Value Loyalist
C10029,36,Female,East,76488.54,2.18,108.0,4,364.37,84.55,0.3,Home & Living,At-Risk / Churning
C10030,51,Female,East,58331.02,2.84,74.0,1,85.38,85.38,0.57,Beauty,At-Risk / Churning
C10031,45,Female,West,42839.59,0.3,39.4,9,316.48,36.58,0.59,Groceries,New / Occasional Shopper
C10032,25,Male,West,43257.07,3.29,11.9,18,1639.88,88.98,0.89,Groceries,Young Digital Shopper
C10033,22,Female,East,37754.89,0.14,7.8,24,962.08,40.18,0.78,Groceries,Young Digital Shopper
C10034,39,Male,West,67750.61,6.77,19.9,2,391.39,199.86,0.47,Electronics,Bargain Hunter
C10035,34,Female,West,53399.74,0.69,8.3,20,1048.98,53.59,0.94,Home & Living,Young Digital Shopper
C10036,44,Female,North,98217.34,4.79,4.9,28,2764.22,99.2,0.39,Groceries,High-Value Loyalist
C10037,25,Female,South,61967.68,3.59,8.2,9,326.31,37.36,0.77,Home & Living,Bargain Hunter
C10038,18,Female,West,47482.4,2.4,14.0,20,970.37,49.35,0.92,Fashion,Young Digital Shopper
C10039,50,Male,West,45702.47,0.1,117.8,2,20.0,8.44,0.1,Sports,At-Risk / Churning
C10040,33,Male,West,67104.31,4.0,32.0,10,99.8,9.67,0.62,Beauty,Bargain Hunter
C10041,19,Male,North,75131.33,1.36,20.6,5,28.14,5.12,0.46,Fashion,New / Occasional Shopper
C10042,51,Female,North,57900.84,5.88,119.1,3,20.0,7.92,0.19,Fashion,At-Risk / Churning
C10043,22,Male,West,41019.34,2.27,4.5,12,761.49,62.83,0.82,Fashion,Young Digital Shopper
C10044,27,Female,North,47098.86,0.1,22.8,2,95.38,55.9,0.52,Home & Living,New / Occasional Shopper
C10045,18,Female,East,45376.93,0.1,31.7,5,178.84,38.19,0.36,Beauty,New / Occasional Shopper
C10046,18,Male,North,52148.72,1.38,10.8,18,1115.06,61.15,0.82,Home & Living,Young Digital Shopper
C10047,30,Non-binary,North,36180.06,0.77,4.2,12,527.01,43.67,0.87,Home & Living,Young Digital Shopper
C10048,52,Female,North,64772.02,7.66,124.4,1,252.31,252.31,0.58,Fashion,At-Risk / Churning
C10049,54,Female,South,104145.42,5.0,9.0,27,2931.34,109.81,0.59,Electronics,High-Value Loyalist
C10050,22,Male,South,54385.55,2.08,17.7,10,1047.2,103.53,0.82,Groceries,Young Digital Shopper
C10051,52,Female,North,98463.58,7.66,13.7,14,4313.32,309.55,0.61,Beauty,High-Value Loyalist
C10052,49,Male,West,59659.24,4.52,92.1,5,20.0,3.87,0.54,Groceries,At-Risk / Churning
C10053,54,Female,West,15000.0,7.42,101.2,1,267.48,267.48,0.33,Groceries,At-Risk / Churning
C10054,41,Male,North,85457.66,5.47,98.4,2,226.9,101.81,0.04,Groceries,At-Risk / Churning
C10055,49,Female,East,107739.04,2.76,57.5,3,511.76,183.12,0.59,Sports,At-Risk / Churning
C10056,41,Female,North,42218.47,2.59,19.1,5,440.27,95.55,0.59,Beauty,Bargain Hunter
C10057,42,Female,South,41835.79,5.21,17.2,5,266.19,53.27,0.39,Home & Living,Bargain Hunter
C10058,37,Male,East,99463.06,2.74,7.3,33,2825.63,85.01,0.31,Sports,High-Value Loyalist
C10059,30,Male,North,102383.82,3.24,5.7,42,1983.6,46.95,0.58,Beauty,High-Value Loyalist
C10060,18,Male,North,64736.52,4.09,132.6,2,296.37,141.59,0.55,Home & Living,At-Risk / Churning
C10061,45,Female,North,50415.64,4.09,9.9,12,332.45,28.89,0.39,Electronics,Bargain Hunter
C10062,22,Male,North,42722.18,2.05,39.2,16,434.64,28.02,0.31,Beauty,Bargain Hunter
C10063,46,Female,South,59383.35,1.08,79.6,1,187.69,187.69,0.53,Groceries,At-Risk / Churning
C10064,49,Female,West,52227.34,2.56,121.9,4,76.35,19.02,0.48,Groceries,At-Risk / Churning
C10065,32,Male,South,64499.98,4.98,12.3,9,321.54,37.72,0.39,Beauty,Bargain Hunter
C10066,62,Female,North,37569.96,1.1,20.7,6,303.36,48.19,0.37,Home & Living,Bargain Hunter
C10067,19,Male,North,58105.52,0.2,2.3,33,814.58,24.65,0.89,Beauty,Young Digital Shopper
C10068,44,Female,East,70757.55,5.69,9.1,21,4223.65,198.56,0.67,Sports,High-Value Loyalist
C10069,45,Female,East,68980.37,0.1,31.1,5,465.23,100.44,0.7,Home & Living,Bargain Hunter
C10070,24,Male,North,25774.06,1.06,4.7,17,905.58,52.15,0.83,Fashion,Young Digital Shopper
C10071,34,Male,South,46264.92,3.07,20.9,3,491.56,148.22,0.5,Sports,Bargain Hunter
C10072,18,Male,South,49107.06,1.07,34.9,4,138.41,31.89,0.78,Beauty,New / Occasional Shopper
C10073,18,Non-binary,South,57230.83,2.36,10.9,22,686.11,30.87,0.93,Sports,Young Digital Shopper
C10074,39,Male,South,108450.9,5.68,8.3,21,3490.23,163.89,0.64,Home & Living,High-Value Loyalist
C10075,33,Female,North,37191.69,0.19,3.7,19,1213.69,63.69,0.76,Groceries,Young Digital Shopper
C10076,20,Female,West,43385.4,2.17,8.6,16,1019.38,64.55,0.86,Beauty,Young Digital Shopper
C10077,45,Male,East,80874.87,8.03,94.8,1,351.79,351.79,0.13,Sports,At-Risk / Churning
C10078,39,Male,North,49073.55,1.99,26.8,10,455.34,47.85,0.67,Beauty,Bargain Hunter
C10079,34,Female,South,23432.09,6.31,103.2,7,459.55,69.44,0.02,Groceries,At-Risk / Churning
C10080,49,Female,West,19842.14,5.86,91.7,1,287.95,287.95,0.04,Home & Living,At-Risk / Churning
C10081,25,Male,East,21815.68,2.19,17.3,9,187.35,21.6,0.59,Sports,Bargain Hunter
C10082,41,Non-binary,North,54044.05,0.67,33.0,5,75.52,14.42,0.66,Sports,New / Occasional Shopper
C10083,34,Male,East,104176.77,4.27,10.8,10,4033.21,384.22,0.09,Electronics,High-Value Loyalist
C10084,28,Male,North,75312.73,3.12,13.1,16,3990.29,242.26,0.54,Groceries,High-Value Loyalist
C10085,49,Male,East,108183.7,2.8,1.0,26,2595.77,101.48,0.74,Home & Living,High-Value Loyalist
C10086,32,Female,South,46454.52,0.1,65.0,1,273.28,273.28,0.1,Electronics,At-Risk / Churning
C10087,29,Male,East,39272.56,0.1,11.3,19,428.46,22.55,0.55,Beauty,Bargain Hunter
C10088,32,Female,South,111345.13,4.22,2.0,26,2789.76,106.15,0.57,Electronics,High-Value Loyalist
C10089,29,Female,South,58791.31,2.58,22.4,11,355.43,33.39,0.66,Electronics,Bargain Hunter
C10090,57,Female,West,70873.59,6.48,11.8,17,3352.09,201.44,0.79,Groceries,High-Value Loyalist
C10091,48,Female,North,54958.74,2.48,65.4,2,287.77,118.9,0.2,Groceries,At-Risk / Churning
C10092,43,Male,West,55243.25,2.84,29.7,11,478.8,42.18,0.56,Sports,Bargain Hunter
C10093,23,Female,North,40009.47,1.41,7.7,20,528.56,26.09,0.97,Sports,Young Digital Shopper
C10094,29,Male,North,32825.5,1.66,13.1,22,946.94,42.48,1.0,Electronics,Young Digital Shopper
C10095,55,Female,North,69532.06,1.17,85.4,1,278.19,195.9,0.34,Fashion,At-Risk / Churning
C10096,18,Female,East,50464.93,1.1,4.1,26,801.96,31.4,0.93,Fashion,Young Digital Shopper
C10097,37,Female,East,112937.99,9.33,3.0,30,3845.85,129.2,0.65,Home & Living,High-Value Loyalist
C10098,33,Female,West,106887.97,3.05,10.5,29,2413.93,84.36,0.67,Fashion,High-Value Loyalist
C10099,34,Female,East,53746.62,0.1,27.6,1,125.76,125.76,0.43,Electronics,New / Occasional Shopper
C10100,34,Female,West,40364.66,0.5,32.4,6,177.09,29.87,0.76,Electronics,New / Occasional Shopper
C10101,22,Female,South,54768.76,0.1,86.4,1,255.17,255.17,0.36,Electronics,At-Risk / Churning
C10102,27,Female,North,34155.9,1.03,6.6,24,1183.12,49.07,0.87,Groceries,Young Digital Shopper
C10103,32,Male,South,54441.06,1.04,37.0,6,188.51,33.44,0.81,Electronics,New / Occasional Shopper
C10104,68,Male,East,65133.17,3.22,42.1,2,368.06,234.08,0.29,Sports,At-Risk / Churning
C10105,37,Female,North,64227.73,5.72,94.8,4,387.57,97.07,0.39,Sports,At-Risk / Churning
C10106,39,Male,North,55011.37,3.12,27.7,13,426.63,32.27,0.34,Electronics,Bargain Hunter
C10107,37,Male,East,41714.73,1.12,7.7,24,979.4,40.23,1.0,Sports,Young Digital Shopper
C10108,38,Female,South,99480.81,4.84,12.2,30,4081.38,136.43,0.54,Beauty,High-Value Loyalist
C10109,23,Male,South,34586.04,0.57,20.9,6,147.21,25.06,0.68,Electronics,New / Occasional Shopper
C10110,26,Female,East,55140.16,1.66,26.0,12,298.58,24.22,0.64,Electronics,Bargain Hunter
C10111,32,Female,South,55601.06,0.76,8.4,25,1793.79,71.08,0.74,Home & Living,Young Digital Shopper
C10112,20,Female,North,44404.16,2.01,1.1,21,965.51,46.7,0.92,Beauty,Young Digital Shopper
C10113,61,Female,West,55282.04,2.78,1.4,7,158.92,22.73,0.5,Home & Living,Bargain Hunter
C10114,46,Female,South,108069.77,1.79,3.3,22,3225.76,146.59,0.58,Beauty,High-Value Loyalist
C10115,28,Male,North,32799.14,1.14,26.9,4,188.17,51.61,0.77,Sports,New / Occasional Shopper
C10116,53,Male,North,72216.9,8.95,74.1,5,397.14,86.7,0.61,Electronics,At-Risk / Churning
C10117,48,Male,East,58038.53,4.71,68.8,1,272.98,272.98,0.2,Sports,At-Risk / Churning
C10118,40,Female,East,54112.9,1.06,25.8,20,461.59,23.38,0.6,Groceries,Bargain Hunter
C10119,35,Male,East,39121.12,7.57,84.0,3,133.65,47.4,0.29,Beauty,At-Risk / Churning
C10120,48,Male,South,58892.16,5.1,13.8,5,308.31,66.0,0.49,Groceries,Bargain Hunter
C10121,56,Male,East,15000.0,7.21,110.8,1,306.48,306.48,0.4,Sports,At-Risk / Churning
C10122,34,Male,East,97487.69,5.07,7.0,31,3752.56,121.58,0.64,Sports,High-Value Loyalist
C10123,42,Female,North,36733.74,0.7,26.3,15,439.03,30.0,0.0,Beauty,Bargain Hunter
C10124,24,Male,West,117234.45,6.23,8.1,35,3393.87,98.0,0.62,Home & Living,High-Value Loyalist
C10125,48,Female,West,29875.25,5.1,24.5,16,600.41,38.57,0.41,Sports,Bargain Hunter
C10126,22,Female,South,41911.19,1.07,4.8,17,682.99,41.27,0.66,Groceries,Young Digital Shopper
C10127,59,Male,North,95240.76,8.24,14.5,30,3778.49,127.79,0.59,Beauty,High-Value Loyalist
C10128,45,Female,West,89810.86,8.02,10.0,41,3010.72,72.71,0.61,Fashion,High-Value Loyalist
C10129,18,Female,South,59233.84,1.38,1.0,17,445.42,26.39,0.7,Electronics,Bargain Hunter
C10130,41,Male,South,86152.27,7.19,8.4,45,3784.17,84.84,0.71,Groceries,High-Value Loyalist
C10131,18,Male,East,42171.21,1.35,47.2,2,164.13,79.66,0.51,Beauty,New / Occasional Shopper
C10132,44,Female,East,51478.51,3.58,22.0,6,92.03,14.7,0.53,Sports,Bargain Hunter
C10133,33,Male,North,36023.72,2.62,4.6,21,1709.57,79.88,1.0,Electronics,Young Digital Shopper
C10134,46,Female,North,36590.74,0.1,17.6,11,658.94,62.51,0.43,Groceries,Bargain Hunter
C10135,42,Male,North,93439.32,6.87,6.6,33,2126.99,64.96,0.47,Beauty,High-Value Loyalist
C10136,37,Female,West,61846.42,0.75,34.3,1,243.54,243.54,0.32,Beauty,New / Occasional Shopper
C10137,33,Male,West,49433.83,3.51,13.6,13,353.09,26.44,0.7,Beauty,Bargain Hunter
C10138,55,Female,South,42681.2,3.16,43.8,4,210.36,58.74,0.0,Beauty,At-Risk / Churning
C10139,26,Male,North,69055.69,6.73,13.5,36,2678.51,74.11,0.46,Groceries,High-Value Loyalist
C10140,34,Male,West,73698.47,1.96,15.6,11,590.07,51.74,0.92,Fashion,Bargain Hunter
C10141,21,Female,North,66386.13,1.23,9.8,11,383.61,33.62,0.31,Electronics,Bargain Hunter
C10142,29,Female,East,46051.7,1.9,43.6,2,246.57,119.88,0.81,Groceries,New / Occasional Shopper
C10143,46,Male,West,63467.46,2.26,14.6,9,501.17,53.39,0.33,Home & Living,Bargain Hunter
C10144,31,Male,West,26206.62,0.86,1.0,6,223.02,37.41,0.47,Fashion,Bargain Hunter
C10145,23,Male,West,63870.05,1.83,8.6,19,811.69,42.54,0.85,Groceries,Young Digital Shopper
C10146,26,Male,North,23620.57,0.62,6.8,23,865.98,37.96,1.0,Home & Living,Young Digital Shopper
C10147,36,Female,East,50399.49,4.47,21.1,14,626.66,43.54,0.5,Fashion,Bargain Hunter
C10148,29,Female,North,67269.24,5.22,42.1,11,91.12,8.67,0.39,Fashion,Bargain Hunter
C10149,51,Female,South,103720.16,7.31,14.1,34,4265.19,127.26,0.6,Electronics,High-Value Loyalist
C10150,48,Male,North,48243.07,1.32,47.1,4,127.21,29.95,0.65,Beauty,New / Occasional Shopper
C10151,28,Female,West,71734.41,0.56,31.8,1,350.37,350.37,0.79,Home & Living,New / Occasional Shopper
C10152,37,Male,South,115668.62,7.59,10.7,29,3301.86,112.05,0.52,Electronics,High-Value Loyalist
C10153,44,Female,North,60837.34,2.92,24.8,13,371.92,29.45,0.66,Electronics,Bargain Hunter
C10154,60,Male,North,63770.43,1.33,10.5,18,3124.24,174.29,0.48,Fashion,High-Value Loyalist
C10155,20,Female,East,76791.36,7.82,120.9,6,310.25,51.88,0.36,Sports,At-Risk / Churning
C10156,21,Male,West,50416.14,2.14,7.8,10,1090.81,109.61,1.0,Sports,Young Digital Shopper
C10157,47,Male,West,67625.43,2.02,64.6,1,437.28,407.74,0.62,Groceries,At-Risk / Churning
C10158,52,Male,North,69204.37,6.06,109.9,3,457.42,144.51,0.41,Sports,At-Risk / Churning
C10159,54,Female,West,74259.95,0.1,44.8,1,433.3,319.88,0.41,Fashion,At-Risk / Churning
C10160,54,Female,East,93418.96,5.11,9.0,35,2571.75,73.32,0.4,Beauty,High-Value Loyalist
C10161,18,Female,West,57355.81,0.6,26.0,3,20.0,6.22,0.51,Groceries,New / Occasional Shopper
C10162,34,Male,South,39785.33,1.34,3.3,27,1013.44,37.98,0.84,Fashion,Young Digital Shopper
C10163,34,Male,North,94236.19,7.78,8.5,22,3161.02,143.15,0.55,Electronics,High-Value Loyalist
C10164,51,Male,East,47391.07,2.84,17.9,14,332.22,24.33,0.62,Groceries,Bargain Hunter
C10165,33,Female,West,46122.94,0.44,12.6,16,1037.36,63.13,1.0,Electronics,Young Digital Shopper
C10166,43,Male,South,32597.86,0.51,34.7,3,204.13,72.18,0.46,Home & Living,New / Occasional Shopper
C10167,23,Female,East,39789.26,0.46,13.6,3,190.69,60.44,0.57,Fashion,New / Occasional Shopper
C10168,29,Male,West,65231.74,3.07,4.1,21,878.11,40.98,0.91,Electronics,Young Digital Shopper
C10169,35,Male,West,63492.96,0.67,31.7,6,117.89,19.68,0.35,Electronics,New / Occasional Shopper
C10170,32,Male,East,25082.85,2.9,1.0,14,931.0,67.27,0.85,Groceries,Young Digital Shopper
C10171,39,Female,North,57505.22,5.14,11.4,14,253.19,17.55,0.67,Groceries,Bargain Hunter
C10172,28,Female,East,15000.0,1.43,7.2,18,934.81,50.71,0.94,Beauty,Young Digital Shopper
C10173,31,Female,West,46724.01,1.24,37.4,6,82.26,13.53,0.69,Groceries,New / Occasional Shopper
C10174,36,Non-binary,West,88327.21,3.16,3.5,27,4488.88,166.36,0.36,Sports,High-Value Loyalist
C10175,37,Female,South,94538.5,8.28,6.0,22,3035.39,135.91,0.92,Beauty,High-Value Loyalist
C10176,28,Male,North,27130.85,2.7,30.2,16,576.91,36.89,0.41,Groceries,Bargain Hunter
C10177,34,Female,East,39095.44,0.92,10.7,4,277.11,65.55,0.41,Groceries,New / Occasional Shopper
C10178,39,Male,North,34583.02,0.25,10.7,3,260.02,88.65,0.54,Fashion,New / Occasional Shopper
C10179,58,Female,East,75397.92,3.43,109.2,4,225.79,54.36,0.32,Electronics,At-Risk / Churning
C10180,26,Female,North,51982.45,1.13,19.8,7,120.5,17.19,0.75,Groceries,New / Occasional Shopper
C10181,31,Male,West,44153.38,0.21,26.3,3,313.16,100.99,0.63,Home & Living,New / Occasional Shopper
C10182,45,Female,East,59844.61,4.75,17.4,13,323.47,24.33,0.45,Beauty,Bargain Hunter
C10183,21,Female,North,49304.43,0.87,12.9,9,1033.5,109.69,0.77,Home & Living,Young Digital Shopper
C10184,41,Female,South,60144.14,6.61,71.6,1,369.18,369.18,0.5,Electronics,At-Risk / Churning
C10185,56,Non-binary,East,39375.96,0.34,85.2,3,517.9,187.14,0.73,Electronics,At-Risk / Churning
C10186,30,Non-binary,South,59645.98,1.73,2.0,21,917.74,42.75,0.92,Home & Living,Young Digital Shopper
C10187,40,Male,North,114729.16,4.36,10.9,32,2734.79,84.43,0.39,Groceries,High-Value Loyalist
C10188,60,Female,West,56897.39,8.44,120.8,6,294.08,51.26,0.19,Electronics,At-Risk / Churning
C10189,24,Male,East,37322.52,0.41,1.0,22,714.98,32.26,1.0,Fashion,Young Digital Shopper
C10190,46,Female,North,45968.84,0.1,43.6,1,119.02,119.02,0.44,Sports,New / Occasional Shopper
C10191,19,Male,East,41553.67,2.25,2.7,21,1041.67,49.65,0.95,Sports,Young Digital Shopper
C10192,44,Female,South,104207.25,6.34,8.7,26,2967.29,115.83,0.43,Fashion,High-Value Loyalist
C10193,24,Female,West,35052.39,0.17,25.1,2,268.1,169.77,0.67,Fashion,New / Occasional Shopper
C10194,29,Male,North,113382.0,5.54,5.3,26,3228.83,126.39,0.72,Beauty,High-Value Loyalist
C10195,37,Female,East,128982.63,8.65,8.0,15,3450.16,236.48,0.84,Fashion,High-Value Loyalist
C10196,48,Male,West,41892.08,4.62,22.2,6,323.33,54.73,0.36,Beauty,Bargain Hunter
C10197,18,Female,South,40325.41,0.22,23.8,6,286.04,49.84,0.86,Groceries,New / Occasional Shopper
C10198,33,Male,South,43184.94,1.21,3.0,27,1329.55,48.86,0.88,Groceries,Young Digital Shopper
C10199,34,Male,East,53069.61,1.21,8.9,25,599.1,24.11,0.94,Home & Living,Young Digital Shopper
C10200,34,Male,South,70624.46,4.43,87.8,3,533.13,158.26,0.1,Electronics,At-Risk / Churning
C10201,31,Male,West,21000.76,1.11,56.1,3,362.83,137.6,0.64,Home & Living,New / Occasional Shopper
C10202,31,Male,South,53667.74,7.14,23.2,8,401.24,51.03,0.38,Electronics,Bargain Hunter
C10203,40,Male,West,99667.18,5.94,1.4,25,3347.37,132.22,0.79,Home & Living,High-Value Loyalist
C10204,56,Female,South,93937.24,10.16,20.0,25,2663.48,106.17,0.37,Electronics,High-Value Loyalist
C10205,32,Male,West,56252.31,0.1,13.9,11,870.39,77.29,0.84,Fashion,Young Digital Shopper
C10206,48,Female,East,137475.89,4.37,6.2,25,3283.06,128.88,0.7,Beauty,High-Value Loyalist
C10207,52,Female,North,19105.43,4.07,54.4,6,316.27,52.69,0.2,Fashion,At-Risk / Churning
C10208,48,Male,South,70551.26,3.04,3.8,30,3130.12,105.61,0.64,Fashion,High-Value Loyalist
C10209,43,Female,West,53947.56,2.79,19.0,8,409.2,53.42,0.75,Groceries,Bargain Hunter
C10210,50,Female,South,52529.72,6.99,97.1,4,384.46,95.03,0.63,Beauty,At-Risk / Churning
C10211,37,Male,East,45683.54,2.43,8.6,9,348.82,37.78,0.37,Groceries,Bargain Hunter
C10212,38,Female,South,50046.1,3.58,4.8,19,1026.95,53.99,0.91,Groceries,Young Digital Shopper
C10213,33,Female,West,21433.53,0.1,46.6,7,102.85,15.74,0.65,Electronics,New / Occasional Shopper
C10214,41,Male,West,37823.94,1.6,90.7,2,194.08,99.27,0.5,Electronics,At-Risk / Churning
C10215,60,Non-binary,East,84763.21,1.67,68.4,5,150.22,30.82,0.72,Groceries,At-Risk / Churning
C10216,60,Male,East,105643.77,5.36,2.9,25,3746.83,150.68,0.71,Sports,High-Value Loyalist
C10217,43,Female,East,71716.91,7.06,3.9,29,4050.84,137.73,0.79,Fashion,High-Value Loyalist
C10218,24,Female,East,42701.54,0.94,22.6,2,210.02,139.78,0.69,Electronics,New / Occasional Shopper
C10219,28,Female,North,47487.8,0.83,7.7,15,1060.91,69.03,0.93,Electronics,Young Digital Shopper
C10220,23,Male,South,34500.85,1.31,11.1,24,1111.23,45.68,1.0,Home & Living,Young Digital Shopper
C10221,35,Female,West,55572.71,6.2,16.0,12,545.34,43.66,0.48,Groceries,Bargain Hunter
C10222,36,Female,East,68369.98,3.84,81.6,2,151.29,84.83,0.88,Electronics,At-Risk / Churning
C10223,30,Male,West,53200.01,0.16,43.3,5,121.96,22.78,0.72,Fashion,New / Occasional Shopper
C10224,20,Male,South,60770.51,0.1,8.8,24,961.79,40.27,0.94,Fashion,Young Digital Shopper
C10225,37,Female,North,50700.35,0.95,20.2,1,115.92,115.46,0.76,Groceries,New / Occasional Shopper
C10226,35,Female,West,88568.51,3.14,1.2,19,2624.72,134.82,0.56,Sports,High-Value Loyalist
C10227,23,Female,West,49109.76,2.45,30.2,9,333.95,35.8,0.73,Electronics,Bargain Hunter
C10228,43,Female,North,69593.81,4.35,93.0,5,183.23,36.34,0.36,Electronics,At-Risk / Churning
C10229,51,Male,West,103393.92,8.35,1.4,35,4763.87,135.15,0.7,Home & Living,High-Value Loyalist
C10230,25,Female,South,99591.48,2.59,5.0,23,3156.08,140.19,0.64,Beauty,High-Value Loyalist
C10231,26,Male,West,64176.66,4.64,15.2,13,584.6,44.34,0.65,Electronics,Bargain Hunter
C10232,22,Male,West,48893.13,0.1,38.9,5,210.33,42.32,0.48,Home & Living,New / Occasional Shopper
C10233,50,Female,North,51373.74,1.83,5.9,15,364.44,24.52,0.57,Home & Living,Bargain Hunter
C10234,27,Female,East,46611.73,0.8,18.6,5,325.07,69.74,0.55,Beauty,New / Occasional Shopper
C10235,27,Female,North,32722.54,0.1,51.2,3,164.03,49.0,0.57,Fashion,New / Occasional Shopper
C10236,18,Female,South,41271.59,5.35,16.0,18,535.29,29.78,0.39,Beauty,Bargain Hunter
C10237,30,Male,East,81465.16,3.26,74.8,1,229.6,229.6,0.41,Electronics,At-Risk / Churning
C10238,47,Male,North,102960.0,9.62,7.7,25,3306.08,130.41,0.63,Fashion,High-Value Loyalist
C10239,69,Female,North,104287.25,4.49,10.4,32,2493.72,77.39,0.48,Fashion,High-Value Loyalist
C10240,32,Female,North,61311.82,0.99,47.9,4,119.7,32.56,0.88,Groceries,New / Occasional Shopper
C10241,50,Male,South,75576.59,2.82,107.8,4,341.93,95.84,0.36,Fashion,At-Risk / Churning
C10242,25,Female,South,25373.13,1.99,4.4,19,865.59,44.89,0.86,Beauty,Young Digital Shopper
C10243,34,Female,South,62697.6,3.46,36.9,14,199.76,14.14,0.45,Beauty,Bargain Hunter
C10244,36,Female,East,61298.86,0.1,95.5,5,147.2,31.65,0.28,Electronics,At-Risk / Churning
C10245,25,Female,West,29706.23,0.14,37.5,4,20.0,5.14,0.69,Home & Living,New / Occasional Shopper
C10246,48,Male,East,54336.73,0.81,92.6,3,224.28,69.02,0.04,Electronics,At-Risk / Churning
C10247,31,Female,South,60752.97,3.58,17.2,7,378.29,52.98,0.55,Groceries,Bargain Hunter
C10248,25,Male,West,53113.49,0.43,5.9,16,485.22,29.41,0.84,Home & Living,Young Digital Shopper
C10249,26,Male,South,60173.01,2.11,26.0,7,380.97,51.59,0.13,Beauty,Bargain Hunter
C10250,38,Male,South,81037.1,5.73,47.1,1,359.35,359.35,0.68,Beauty,At-Risk / Churning
C10251,30,Female,South,15000.0,0.63,4.7,4,147.77,34.7,0.43,Sports,New / Occasional Shopper
C10252,39,Male,East,69197.52,8.07,20.1,11,579.65,55.0,0.3,Groceries,Bargain Hunter
C10253,28,Male,West,70525.64,1.61,9.2,11,1371.04,124.93,0.85,Fashion,Young Digital Shopper
C10254,22,Female,East,49202.04,1.56,4.9,29,1544.68,53.96,0.88,Electronics,Young Digital Shopper
C10255,43,Male,South,51573.25,6.26,109.5,2,254.71,132.43,0.03,Groceries,At-Risk / Churning
C10256,45,Female,North,32308.47,0.65,38.5,2,159.5,75.46,0.8,Fashion,New / Occasional Shopper
C10257,29,Female,North,103846.15,7.37,18.3,36,1872.81,51.77,0.76,Beauty,High-Value Loyalist
C10258,51,Male,North,104907.8,7.78,1.5,32,1703.75,53.81,0.52,Sports,High-Value Loyalist
