customer_id,age,gender,region,annual_income,recency_days,frequency_last_year,monetary_last_year,avg_basket_value,online_purchase_ratio,preferred_category,cluster,segment_name
C10017,45,Female,East,68269.0,14.0,23,2807.47,119.79,0.55,Home & Living,2,High-Value Loyalists
C10018,33,Female,North,21166.54,33.1,5,20.0,3.65,0.44,Groceries,0,Price-Sensitive / Occasional Shoppers
C10019,72,Female,North,69371.06,101.4,8,230.07,27.32,0.19,Beauty,4,At-Risk / Churning
C10020,34,Male,West,106196.89,93.2,2,388.23,252.85,0.33,Sports,1,Infrequent Big Spenders
C10021,27,Female,West,70955.46,7.9,17,797.87,46.61,0.85,Electronics,3,Young Digital Shoppers
C10022,18,Male,East,57930.0,29.3,5,78.57,16.53,0.92,Groceries,3,Young Digital Shoppers
C10023,39,Male,North,51072.83,10.9,4,212.81,53.86,0.76,Sports,0,Price-Sensitive / Occasional Shoppers
C10024,63,Female,East,15000.0,77.1,3,20.0,7.49,0.37,Groceries,4,At-Risk / Churning
C10025,21,Female,South,39937.06,11.9,16,1088.66,66.84,0.73,Beauty,3,Young Digital Shoppers
C10026,44,Male,South,32262.53,31.8,10,389.39,40.13,0.4,Sports,0,Price-Sensitive / Occasional Shoppers
C10027,47,Female,North,94841.7,10.6,25,4760.81,186.79,0.31,Electronics,2,High-Value Loyalists
C10028,62,Female,North,112918.83,12.9,28,3047.94,108.21,0.52,Beauty,2,High-Value Loyalists
C10029,36,Female,East,76488.54,108.0,4,364.37,84.55,0.3,Home & Living,4,At-Risk / Churning
C10030,51,Female,East,58331.02,74.0,1,85.38,85.38,0.57,Beauty,4,At-Risk / Churning
C10031,45,Female,West,42839.59,39.4,9,316.48,36.58,0.59,Groceries,0,Price-Sensitive / Occasional Shoppers
C10032,25,Male,West,43257.07,11.9,18,1639.88,88.98,0.89,Groceries,3,Young Digital Shoppers
C10033,22,Female,East,37754.89,7.8,24,962.08,40.18,0.78,Groceries,3,Young Digital Shoppers
C10034,39,Male,West,67750.61,19.9,2,391.39,199.86,0.47,Electronics,1,Infrequent Big Spenders
C10035,34,Female,West,53399.74,8.3,20,1048.98,53.59,0.94,Home & Living,3,Young Digital Shoppers
C10036,44,Female,North,98217.34,4.9,28,2764.22,99.2,0.39,Groceries,2,High-Value Loyalists
C10037,25,Female,South,61967.68,8.2,9,326.31,37.36,0.77,Home & Living,3,Young Digital Shoppers
C10038,18,Female,West,47482.4,14.0,20,970.37,49.35,0.92,Fashion,3,Young Digital Shoppers
C10039,50,Male,West,45702.47,117.8,2,20.0,8.44,0.1,Sports,4,At-Risk / Churning
C10040,33,Male,West,67104.31,32.0,10,99.8,9.67,0.62,Beauty,0,Price-Sensitive / Occasional Shoppers
C10041,19,Male,North,75131.33,20.6,5,28.14,5.12,0.46,Fashion,0,Price-Sensitive / Occasional Shoppers
C10042,51,Female,North,57900.84,119.1,3,20.0,7.92,0.19,Fashion,4,At-Risk / Churning
C10043,22,Male,West,41019.34,4.5,12,761.49,62.83,0.82,Fashion,3,Young Digital Shoppers
C10044,27,Female,North,47098.86,22.8,2,95.38,55.9,0.52,Home & Living,0,Price-Sensitive / Occasional Shoppers
C10045,18,Female,East,45376.93,31.7,5,178.84,38.19,0.36,Beauty,0,Price-Sensitive / Occasional Shoppers
C10046,18,Male,North,52148.72,10.8,18,1115.06,61.15,0.82,Home & Living,3,Young Digital Shoppers
C10047,30,Non-binary,North,36180.06,4.2,12,527.01,43.67,0.87,Home & Living,3,Young Digital Shoppers
C10048,52,Female,North,64772.02,124.4,1,252.31,252.31,0.58,Fashion,1,Infrequent Big Spenders
C10049,54,Female,South,104145.42,9.0,27,2931.34,109.81,0.59,Electronics,2,High-Value Loyalists
C10050,22,Male,South,54385.55,17.7,10,1047.2,103.53,0.82,Groceries,3,Young Digital Shoppers
C10051,52,Female,North,98463.58,13.7,14,4313.32,309.55,0.61,Beauty,2,High-Value Loyalists
C10052,49,Male,West,59659.24,92.1,5,20.0,3.87,0.54,Groceries,4,At-Risk / Churning
C10053,54,Female,West,15000.0,101.2,1,267.48,267.48,0.33,Groceries,1,Infrequent Big Spenders
C10054,41,Male,North,85457.66,98.4,2,226.9,101.81,0.04,Groceries,4,At-Risk / Churning
C10055,49,Female,East,107739.04,57.5,3,511.76,183.12,0.59,Sports,4,At-Risk / Churning
C10056,41,Female,North,42218.47,19.1,5,440.27,95.55,0.59,Beauty,0,Price-Sensitive / Occasional Shoppers
C10057,42,Female,South,41835.79,17.2,5,266.19,53.27,0.39,Home & Living,0,Price-Sensitive / Occasional Shoppers
C10058,37,Male,East,99463.06,7.3,33,2825.63,85.01,0.31,Sports,2,High-Value Loyalists
C10059,30,Male,North,102383.82,5.7,42,1983.6,46.95,0.58,Beauty,2,High-Value Loyalists
C10060,18,Male,North,64736.52,132.6,2,296.37,141.59,0.55,Home & Living,4,At-Risk / Churning
C10061,45,Female,North,50415.64,9.9,12,332.45,28.89,0.39,Electronics,0,Price-Sensitive / Occasional Shoppers
C10062,22,Male,North,42722.18,39.2,16,434.64,28.02,0.31,Beauty,0,Price-Sensitive / Occasional Shoppers
C10063,46,Female,South,59383.35,79.6,1,187.69,187.69,0.53,Groceries,4,At-Risk / Churning
C10064,49,Female,West,52227.34,121.9,4,76.35,19.02,0.48,Groceries,4,At-Risk / Churning
C10065,32,Male,South,64499.98,12.3,9,321.54,37.72,0.39,Beauty,0,Price-Sensitive / Occasional Shoppers
C10066,62,Female,North,37569.96,20.7,6,303.36,48.19,0.37,Home & Living,0,Price-Sensitive / Occasional Shoppers
C10067,19,Male,North,58105.52,2.3,33,814.58,24.65,0.89,Beauty,3,Young Digital Shoppers
C10068,44,Female,East,70757.55,9.1,21,4223.65,198.56,0.67,Sports,2,High-Value Loyalists
C10069,45,Female,East,68980.37,31.1,5,465.23,100.44,0.7,Home & Living,0,Price-Sensitive / Occasional Shoppers
C10070,24,Male,North,25774.06,4.7,17,905.58,52.15,0.83,Fashion,3,Young Digital Shoppers
C10071,34,Male,South,46264.92,20.9,3,491.56,148.22,0.5,Sports,0,Price-Sensitive / Occasional Shoppers
C10072,18,Male,South,49107.06,34.9,4,138.41,31.89,0.78,Beauty,3,Young Digital Shoppers
C10073,18,Non-binary,South,57230.83,10.9,22,686.11,30.87,0.93,Sports,3,Young Digital Shoppers
C10074,39,Male,South,108450.9,8.3,21,3490.23,163.89,0.64,Home & Living,2,High-Value Loyalists
C10075,33,Female,North,37191.69,3.7,19,1213.69,63.69,0.76,Groceries,3,Young Digital Shoppers
C10076,20,Female,West,43385.4,8.6,16,1019.38,64.55,0.86,Beauty,3,Young Digital Shoppers
C10077,45,Male,East,80874.87,94.8,1,351.79,351.79,0.13,Sports,1,Infrequent Big Spenders
C10078,39,Male,North,49073.55,26.8,10,455.34,47.85,0.67,Beauty,0,Price-Sensitive / Occasional Shoppers
C10079,34,Female,South,23432.09,103.2,7,459.55,69.44,0.02,Groceries,4,At-Risk / Churning
C10080,49,Female,West,19842.14,91.7,1,287.95,287.95,0.04,Home & Living,1,Infrequent Big Spenders
C10081,25,Male,East,21815.68,17.3,9,187.35,21.6,0.59,Sports,0,Price-Sensitive / Occasional Shoppers
C10082,41,Non-binary,North,54044.05,33.0,5,75.52,14.42,0.66,Sports,0,Price-Sensitive / Occasional Shoppers
C10083,34,Male,East,104176.77,10.8,10,4033.21,384.22,0.09,Electronics,1,Infrequent Big Spenders
C10084,28,Male,North,75312.73,13.1,16,3990.29,242.26,0.54,Groceries,2,High-Value Loyalists
C10085,49,Male,East,108183.7,1.0,26,2595.77,101.48,0.74,Home & Living,2,High-Value Loyalists
C10086,32,Female,South,46454.52,65.0,1,273.28,273.28,0.1,Electronics,1,Infrequent Big Spenders
C10087,29,Male,East,39272.56,11.3,19,428.46,22.55,0.55,Beauty,0,Price-Sensitive / Occasional Shoppers
C10088,32,Female,South,111345.13,2.0,26,2789.76,106.15,0.57,Electronics,2,High-Value Loyalists
C10089,29,Female,South,58791.31,22.4,11,355.43,33.39,0.66,Electronics,0,Price-Sensitive / Occasional Shoppers
C10090,57,Female,West,70873.59,11.8,17,3352.09,201.44,0.79,Groceries,2,High-Value Loyalists
C10091,48,Female,North,54958.74,65.4,2,287.77,118.9,0.2,Groceries,4,At-Risk / Churning
C10092,43,Male,West,55243.25,29.7,11,478.8,42.18,0.56,Sports,0,Price-Sensitive / Occasional Shoppers
C10093,23,Female,North,40009.47,7.7,20,528.56,26.09,0.97,Sports,3,Young Digital Shoppers
C10094,29,Male,North,32825.5,13.1,22,946.94,42.48,1.0,Electronics,3,Young Digital Shoppers
C10095,55,Female,North,69532.06,85.4,1,278.19,195.9,0.34,Fashion,4,At-Risk / Churning
C10096,18,Female,East,50464.93,4.1,26,801.96,31.4,0.93,Fashion,3,Young Digital Shoppers
C10097,37,Female,East,112937.99,3.0,30,3845.85,129.2,0.65,Home & Living,2,High-Value Loyalists
C10098,33,Female,West,106887.97,10.5,29,2413.93,84.36,0.67,Fashion,2,High-Value Loyalists
C10099,34,Female,East,53746.62,27.6,1,125.76,125.76,0.43,Electronics,0,Price-Sensitive / Occasional Shoppers
C10100,34,Female,West,40364.66,32.4,6,177.09,29.87,0.76,Electronics,0,Price-Sensitive / Occasional Shoppers
C10101,22,Female,South,54768.76,86.4,1,255.17,255.17,0.36,Electronics,1,Infrequent Big Spenders
C10102,27,Female,North,34155.9,6.6,24,1183.12,49.07,0.87,Groceries,3,Young Digital Shoppers
C10103,32,Male,South,54441.06,37.0,6,188.51,33.44,0.81,Electronics,0,Price-Sensitive / Occasional Shoppers
C10104,68,Male,East,65133.17,42.1,2,368.06,234.08,0.29,Sports,1,Infrequent Big Spenders
C10105,37,Female,North,64227.73,94.8,4,387.57,97.07,0.39,Sports,4,At-Risk / Churning
C10106,39,Male,North,55011.37,27.7,13,426.63,32.27,0.34,Electronics,0,Price-Sensitive / Occasional Shoppers
C10107,37,Male,East,41714.73,7.7,24,979.4,40.23,1.0,Sports,3,Young Digital Shoppers
C10108,38,Female,South,99480.81,12.2,30,4081.38,136.43,0.54,Beauty,2,High-Value Loyalists
C10109,23,Male,South,34586.04,20.9,6,147.21,25.06,0.68,Electronics,0,Price-Sensitive / Occasional Shoppers
C10110,26,Female,East,55140.16,26.0,12,298.58,24.22,0.64,Electronics,0,Price-Sensitive / Occasional Shoppers
C10111,32,Female,South,55601.06,8.4,25,1793.79,71.08,0.74,Home & Living,3,Young Digital Shoppers
C10112,20,Female,North,44404.16,1.1,21,965.51,46.7,0.92,Beauty,3,Young Digital Shoppers
C10113,61,Female,West,55282.04,1.4,7,158.92,22.73,0.5,Home & Living,0,Price-Sensitive / Occasional Shoppers
C10114,46,Female,South,108069.77,3.3,22,3225.76,146.59,0.58,Beauty,2,High-Value Loyalists
C10115,28,Male,North,32799.14,26.9,4,188.17,51.61,0.77,Sports,0,Price-Sensitive / Occasional Shoppers
C10116,53,Male,North,72216.9,74.1,5,397.14,86.7,0.61,Electronics,4,At-Risk / Churning
C10117,48,Male,East,58038.53,68.8,1,272.98,272.98,0.2,Sports,1,Infrequent Big Spenders
C10118,40,Female,East,54112.9,25.8,20,461.59,23.38,0.6,Groceries,0,Price-Sensitive / Occasional Shoppers
C10119,35,Male,East,39121.12,84.0,3,133.65,47.4,0.29,Beauty,4,At-Risk / Churning
C10120,48,Male,South,58892.16,13.8,5,308.31,66.0,0.49,Groceries,0,Price-Sensitive / Occasional Shoppers
C10121,56,Male,East,15000.0,110.8,1,306.48,306.48,0.4,Sports,1,Infrequent Big Spenders
C10122,34,Male,East,97487.69,7.0,31,3752.56,121.58,0.64,Sports,2,High-Value Loyalists
C10123,42,Female,North,36733.74,26.3,15,439.03,30.0,0.0,Beauty,0,Price-Sensitive / Occasional Shoppers
C10124,24,Male,West,117234.45,8.1,35,3393.87,98.0,0.62,Home & Living,2,High-Value Loyalists
C10125,48,Female,West,29875.25,24.5,16,600.41,38.57,0.41,Sports,0,Price-Sensitive / Occasional Shoppers
C10126,22,Female,South,41911.19,4.8,17,682.99,41.27,0.66,Groceries,3,Young Digital Shoppers
C10127,59,Male,North,95240.76,14.5,30,3778.49,127.79,0.59,Beauty,2,High-Value Loyalists
C10128,45,Female,West,89810.86,10.0,41,3010.72,72.71,0.61,Fashion,2,High-Value Loyalists
C10129,18,Female,South,59233.84,1.0,17,445.42,26.39,0.7,Electronics,3,Young Digital Shoppers
C10130,41,Male,South,86152.27,8.4,45,3784.17,84.84,0.71,Groceries,2,High-Value Loyalists
C10131,18,Male,East,42171.21,47.2,2,164.13,79.66,0.51,Beauty,0,Price-Sensitive / Occasional Shoppers
C10132,44,Female,East,51478.51,22.0,6,92.03,14.7,0.53,Sports,0,Price-Sensitive / Occasional Shoppers
C10133,33,Male,North,36023.72,4.6,21,1709.57,79.88,1.0,Electronics,3,Young Digital Shoppers
C10134,46,Female,North,36590.74,17.6,11,658.94,62.51,0.43,Groceries,0,Price-Sensitive / Occasional Shoppers
C10135,42,Male,North,93439.32,6.6,33,2126.99,64.96,0.47,Beauty,2,High-Value Loyalists
C10136,37,Female,West,61846.42,34.3,1,243.54,243.54,0.32,Beauty,1,Infrequent Big Spenders
C10137,33,Male,West,49433.83,13.6,13,353.09,26.44,0.7,Beauty,0,Price-Sensitive / Occasional Shoppers
C10138,55,Female,South,42681.2,43.8,4,210.36,58.74,0.0,Beauty,4,At-Risk / Churning
C10139,26,Male,North,69055.69,13.5,36,2678.51,74.11,0.46,Groceries,2,High-Value Loyalists
C10140,34,Male,West,73698.47,15.6,11,590.07,51.74,0.92,Fashion,3,Young Digital Shoppers
C10141,21,Female,North,66386.13,9.8,11,383.61,33.62,0.31,Electronics,0,Price-Sensitive / Occasional Shoppers
C10142,29,Female,East,46051.7,43.6,2,246.57,119.88,0.81,Groceries,0,Price-Sensitive / Occasional Shoppers
C10143,46,Male,West,63467.46,14.6,9,501.17,53.39,0.33,Home & Living,0,Price-Sensitive / Occasional Shoppers
C10144,31,Male,West,26206.62,1.0,6,223.02,37.41,0.47,Fashion,0,Price-Sensitive / Occasional Shoppers
C10145,23,Male,West,63870.05,8.6,19,811.69,42.54,0.85,Groceries,3,Young Digital Shoppers
C10146,26,Male,North,23620.57,6.8,23,865.98,37.96,1.0,Home & Living,3,Young Digital Shoppers
C10147,36,Female,East,50399.49,21.1,14,626.66,43.54,0.5,Fashion,0,Price-Sensitive / Occasional Shoppers
C10148,29,Female,North,67269.24,42.1,11,91.12,8.67,0.39,Fashion,0,Price-Sensitive / Occasional Shoppers
C10149,51,Female,South,103720.16,14.1,34,4265.19,127.26,0.6,Electronics,2,High-Value Loyalists
C10150,48,Male,North,48243.07,47.1,4,127.21,29.95,0.65,Beauty,0,Price-Sensitive / Occasional Shoppers
C10151,28,Female,West,71734.41,31.8,1,350.37,350.37,0.79,Home & Living,1,Infrequent Big Spenders
C10152,37,Male,South,115668.62,10.7,29,3301.86,112.05,0.52,Electronics,2,High-Value Loyalists
C10153,44,Female,North,60837.34,24.8,13,371.92,29.45,0.66,Electronics,0,Price-Sensitive / Occasional Shoppers
C10154,60,Male,North,63770.43,10.5,18,3124.24,174.29,0.48,Fashion,2,High-Value Loyalists
C10155,20,Female,East,76791.36,120.9,6,310.25,51.88,0.36,Sports,4,At-Risk / Churning
C10156,21,Male,West,50416.14,7.8,10,1090.81,109.61,1.0,Sports,3,Young Digital Shoppers
C10157,47,Male,West,67625.43,64.6,1,437.28,407.74,0.62,Groceries,1,Infrequent Big Spenders
C10158,52,Male,North,69204.37,109.9,3,457.42,144.51,0.41,Sports,4,At-Risk / Churning
C10159,54,Female,West,74259.95,44.8,1,433.3,319.88,0.41,Fashion,1,Infrequent Big Spenders
C10160,54,Female,East,93418.96,9.0,35,2571.75,73.32,0.4,Beauty,2,High-Value Loyalists
C10161,18,Female,West,57355.81,26.0,3,20.0,6.22,0.51,Groceries,0,Price-Sensitive / Occasional Shoppers
C10162,34,Male,South,39785.33,3.3,27,1013.44,37.98,0.84,Fashion,3,Young Digital Shoppers
C10163,34,Male,North,94236.19,8.5,22,3161.02,143.15,0.55,Electronics,2,High-Value Loyalists
C10164,51,Male,East,47391.07,17.9,14,332.22,24.33,0.62,Groceries,0,Price-Sensitive / Occasional Shoppers
C10165,33,Female,West,46122.94,12.6,16,1037.36,63.13,1.0,Electronics,3,Young Digital Shoppers
C10166,43,Male,South,32597.86,34.7,3,204.13,72.18,0.46,Home & Living,0,Price-Sensitive / Occasional Shoppers
C10167,23,Female,East,39789.26,13.6,3,190.69,60.44,0.57,Fashion,0,Price-Sensitive / Occasional Shoppers
C10168,29,Male,West,65231.74,4.1,21,878.11,40.98,0.91,Electronics,3,Young Digital Shoppers
C10169,35,Male,West,63492.96,31.7,6,117.89,19.68,0.35,Electronics,0,Price-Sensitive / Occasional Shoppers
C10170,32,Male,East,25082.85,1.0,14,931.0,67.27,0.85,Groceries,3,Young Digital Shoppers
C10171,39,Female,North,57505.22,11.4,14,253.19,17.55,0.67,Groceries,0,Price-Sensitive / Occasional Shoppers
C10172,28,Female,East,15000.0,7.2,18,934.81,50.71,0.94,Beauty,3,Young Digital Shoppers
C10173,31,Female,West,46724.01,37.4,6,82.26,13.53,0.69,Groceries,0,Price-Sensitive / Occasional Shoppers
C10174,36,Non-binary,West,88327.21,3.5,27,4488.88,166.36,0.36,Sports,2,High-Value Loyalists
C10175,37,Female,South,94538.5,6.0,22,3035.39,135.91,0.92,Beauty,2,High-Value Loyalists
C10176,28,Male,North,27130.85,30.2,16,576.91,36.89,0.41,Groceries,0,Price-Sensitive / Occasional Shoppers
C10177,34,Female,East,39095.44,10.7,4,277.11,65.55,0.41,Groceries,0,Price-Sensitive / Occasional Shoppers
C10178,39,Male,North,34583.02,10.7,3,260.02,88.65,0.54,Fashion,0,Price-Sensitive / Occasional Shoppers
C10179,58,Female,East,75397.92,109.2,4,225.79,54.36,0.32,Electronics,4,At-Risk / Churning
C10180,26,Female,North,51982.45,19.8,7,120.5,17.19,0.75,Groceries,0,Price-Sensitive / Occasional Shoppers
C10181,31,Male,West,44153.38,26.3,3,313.16,100.99,0.63,Home & Living,0,Price-Sensitive / Occasional Shoppers
C10182,45,Female,East,59844.61,17.4,13,323.47,24.33,0.45,Beauty,0,Price-Sensitive / Occasional Shoppers
C10183,21,Female,North,49304.43,12.9,9,1033.5,109.69,0.77,Home & Living,3,Young Digital Shoppers
C10184,41,Female,South,60144.14,71.6,1,369.18,369.18,0.5,Electronics,1,Infrequent Big Spenders
C10185,56,Non-binary,East,39375.96,85.2,3,517.9,187.14,0.73,Electronics,4,At-Risk / Churning
C10186,30,Non-binary,South,59645.98,2.0,21,917.74,42.75,0.92,Home & Living,3,Young Digital Shoppers
C10187,40,Male,North,114729.16,10.9,32,2734.79,84.43,0.39,Groceries,2,High-Value Loyalists
C10188,60,Female,West,56897.39,120.8,6,294.08,51.26,0.19,Electronics,4,At-Risk / Churning
C10189,24,Male,East,37322.52,1.0,22,714.98,32.26,1.0,Fashion,3,Young Digital Shoppers
C10190,46,Female,North,45968.84,43.6,1,119.02,119.02,0.44,Sports,0,Price-Sensitive / Occasional Shoppers
C10191,19,Male,East,41553.67,2.7,21,1041.67,49.65,0.95,Sports,3,Young Digital Shoppers
C10192,44,Female,South,104207.25,8.7,26,2967.29,115.83,0.43,Fashion,2,High-Value Loyalists
C10193,24,Female,West,35052.39,25.1,2,268.1,169.77,0.67,Fashion,0,Price-Sensitive / Occasional Shoppers
C10194,29,Male,North,113382.0,5.3,26,3228.83,126.39,0.72,Beauty,2,High-Value Loyalists
C10195,37,Female,East,128982.63,8.0,15,3450.16,236.48,0.84,Fashion,2,High-Value Loyalists
C10196,48,Male,West,41892.08,22.2,6,323.33,54.73,0.36,Beauty,0,Price-Sensitive / Occasional Shoppers
C10197,18,Female,South,40325.41,23.8,6,286.04,49.84,0.86,Groceries,3,Young Digital Shoppers
C10198,33,Male,South,43184.94,3.0,27,1329.55,48.86,0.88,Groceries,3,Young Digital Shoppers
C10199,34,Male,East,53069.61,8.9,25,599.1,24.11,0.94,Home & Living,3,Young Digital Shoppers
C10200,34,Male,South,70624.46,87.8,3,533.13,158.26,0.1,Electronics,4,At-Risk / Churning
C10201,31,Male,West,21000.76,56.1,3,362.83,137.6,0.64,Home & Living,0,Price-Sensitive / Occasional Shoppers
C10202,31,Male,South,53667.74,23.2,8,401.24,51.03,0.38,Electronics,0,Price-Sensitive / Occasional Shoppers
C10203,40,Male,West,99667.18,1.4,25,3347.37,132.22,0.79,Home & Living,2,High-Value Loyalists
C10204,56,Female,South,93937.24,20.0,25,2663.48,106.17,0.37,Electronics,2,High-Value Loyalists
C10205,32,Male,West,56252.31,13.9,11,870.39,77.29,0.84,Fashion,3,Young Digital Shoppers
C10206,48,Female,East,137475.89,6.2,25,3283.06,128.88,0.7,Beauty,2,High-Value Loyalists
C10207,52,Female,North,19105.43,54.4,6,316.27,52.69,0.2,Fashion,4,At-Risk / Churning
C10208,48,Male,South,70551.26,3.8,30,3130.12,105.61,0.64,Fashion,2,High-Value Loyalists
C10209,43,Female,West,53947.56,19.0,8,409.2,53.42,0.75,Groceries,0,Price-Sensitive / Occasional Shoppers
C10210,50,Female,South,52529.72,97.1,4,384.46,95.03,0.63,Beauty,4,At-Risk / Churning
C10211,37,Male,East,45683.54,8.6,9,348.82,37.78,0.37,Groceries,0,Price-Sensitive / Occasional Shoppers
C10212,38,Female,South,50046.1,4.8,19,1026.95,53.99,0.91,Groceries,3,Young Digital Shoppers
C10213,33,Female,West,21433.53,46.6,7,102.85,15.74,0.65,Electronics,0,Price-Sensitive / Occasional Shoppers
C10214,41,Male,West,37823.94,90.7,2,194.08,99.27,0.5,Electronics,4,At-Risk / Churning
C10215,60,Non-binary,East,84763.21,68.4,5,150.22,30.82,0.72,Groceries,4,At-Risk / Churning
C10216,60,Male,East,105643.77,2.9,25,3746.83,150.68,0.71,Sports,2,High-Value Loyalists
C10217,43,Female,East,71716.91,3.9,29,4050.84,137.73,0.79,Fashion,2,High-Value Loyalists
C10218,24,Female,East,42701.54,22.6,2,210.02,139.78,0.69,Electronics,0,Price-Sensitive / Occasional Shoppers
C10219,28,Female,North,47487.8,7.7,15,1060.91,69.03,0.93,Electronics,3,Young Digital Shoppers
C10220,23,Male,South,34500.85,11.1,24,1111.23,45.68,1.0,Home & Living,3,Young Digital Shoppers
C10221,35,Female,West,55572.71,16.0,12,545.34,43.66,0.48,Groceries,0,Price-Sensitive / Occasional Shoppers
C10222,36,Female,East,68369.98,81.6,2,151.29,84.83,0.88,Electronics,4,At-Risk / Churning
C10223,30,Male,West,53200.01,43.3,5,121.96,22.78,0.72,Fashion,0,Price-Sensitive / Occasional Shoppers
C10224,20,Male,South,60770.51,8.8,24,961.79,40.27,0.94,Fashion,3,Young Digital Shoppers
C10225,37,Female,North,50700.35,20.2,1,115.92,115.46,0.76,Groceries,0,Price-Sensitive / Occasional Shoppers
C10226,35,Female,West,88568.51,1.2,19,2624.72,134.82,0.56,Sports,2,High-Value Loyalists
C10227,23,Female,West,49109.76,30.2,9,333.95,35.8,0.73,Electronics,3,Young Digital Shoppers
C10228,43,Female,North,69593.81,93.0,5,183.23,36.34,0.36,Electronics,4,At-Risk / Churning
C10229,51,Male,West,103393.92,1.4,35,4763.87,135.15,0.7,Home & Living,2,High-Value Loyalists
C10230,25,Female,South,99591.48,5.0,23,3156.08,140.19,0.64,Beauty,2,High-Value Loyalists
C10231,26,Male,West,64176.66,15.2,13,584.6,44.34,0.65,Electronics,3,Young Digital Shoppers
C10232,22,Male,West,48893.13,38.9,5,210.33,42.32,0.48,Home & Living,0,Price-Sensitive / Occasional Shoppers
C10233,50,Female,North,51373.74,5.9,15,364.44,24.52,0.57,Home & Living,0,Price-Sensitive / Occasional Shoppers
C10234,27,Female,East,46611.73,18.6,5,325.07,69.74,0.55,Beauty,0,Price-Sensitive / Occasional Shoppers
C10235,27,Female,North,32722.54,51.2,3,164.03,49.0,0.57,Fashion,0,Price-Sensitive / Occasional Shoppers
C10236,18,Female,South,41271.59,16.0,18,535.29,29.78,0.39,Beauty,0,Price-Sensitive / Occasional Shoppers
C10237,30,Male,East,81465.16,74.8,1,229.6,229.6,0.41,Electronics,1,Infrequent Big Spenders
C10238,47,Male,North,102960.0,7.7,25,3306.08,130.41,0.63,Fashion,2,High-Value Loyalists
C10239,69,Female,North,104287.25,10.4,32,2493.72,77.39,0.48,Fashion,2,High-Value Loyalists
C10240,32,Female,North,61311.82,47.9,4,119.7,32.56,0.88,Groceries,0,Price-Sensitive / Occasional Shoppers
C10241,50,Male,South,75576.59,107.8,4,341.93,95.84,0.36,Fashion,4,At-Risk / Churning
C10242,25,Female,South,25373.13,4.4,19,865.59,44.89,0.86,Beauty,3,Young Digital Shoppers
C10243,34,Female,South,62697.6,36.9,14,199.76,14.14,0.45,Beauty,0,Price-Sensitive / Occasional Shoppers
C10244,36,Female,East,61298.86,95.5,5,147.2,31.65,0.28,Electronics,4,At-Risk / Churning
C10245,25,Female,West,29706.23,37.5,4,20.0,5.14,0.69,Home & Living,0,Price-Sensitive / Occasional Shoppers
C10246,48,Male,East,54336.73,92.6,3,224.28,69.02,0.04,Electronics,4,At-Risk / Churning
C10247,31,Female,South,60752.97,17.2,7,378.29,52.98,0.55,Groceries,0,Price-Sensitive / Occasional Shoppers
C10248,25,Male,West,53113.49,5.9,16,485.22,29.41,0.84,Home & Living,3,Young Digital Shoppers
C10249,26,Male,South,60173.01,26.0,7,380.97,51.59,0.13,Beauty,0,Price-Sensitive / Occasional Shoppers
C10250,38,Male,South,81037.1,47.1,1,359.35,359.35,0.68,Beauty,1,Infrequent Big Spenders
C10251,30,Female,South,15000.0,4.7,4,147.77,34.7,0.43,Sports,0,Price-Sensitive / Occasional Shoppers
